"author1"	"author2"	"pubs"	"pubIDs"
"bau hh"	"BUSHMAN F"	"3"	"28092381,25477046,24099566"
"bau hh"	"CANCRO M"	"0"	""
"bau hh"	"CATON A"	"0"	""
"bau hh"	"chang km"	"0"	""
"bau hh"	"chhatre s"	"0"	""
"bau hh"	"COHEN GH"	"0"	""
"bau hh"	"COLLMAN R"	"2"	"28092381,24099566"
"bau hh"	"DOUGLAS SD"	"0"	""
"bau hh"	"DOWSHEN N"	"0"	""
"bau hh"	"EISENBERG RJ"	"0"	""
"bau hh"	"Eisenlohr L"	"0"	""
"bau hh"	"EPPERSON CN"	"0"	""
"bau hh"	"Evans DL"	"0"	""
"bau hh"	"friedman hm"	"0"	""
"bau hh"	"GHOSE T"	"0"	""
"bau hh"	"GROSS R"	"3"	"28092381,25477046,24099566"
"bau hh"	"grover s"	"0"	""
"bau hh"	"HAHN BH"	"0"	""
"bau hh"	"Hahn SM"	"0"	""
"bau hh"	"HOXIE J"	"0"	""
"bau hh"	"HUNTER CA"	"0"	""
"bau hh"	"jarvis jn"	"0"	""
"bau hh"	"JEMMOTT J"	"0"	""
"bau hh"	"JEMMOTT L"	"0"	""
"bau hh"	"JOHNSON PR"	"0"	""
"bau hh"	"JORDAN-SCIUTTO K"	"0"	""
"bau hh"	"JUNE CH"	"0"	""
"bau hh"	"koenig h"	"0"	""
"bau hh"	"Kohler HP"	"0"	""
"bau hh"	"KOHLI RM"	"0"	""
"bau hh"	"KOLSON D"	"0"	""
"bau hh"	"kovaric cl"	"0"	""
"bau hh"	"LANGLEBEN DD"	"0"	""
"bau hh"	"LIEBERMAN PM"	"0"	""
"bau hh"	"LIU C"	"16"	"29542319,29495424,29226671,28868924,28819345,28299706,28092381,28073898,27306491,26900258,26732765,26720725,25626529,27600235,25477046,24099566"
"bau hh"	"Lo Re V"	"0"	""
"bau hh"	"LOWENTHAL ED"	"0"	""
"bau hh"	"Mcguire JL"	"0"	""
"bau hh"	"METZGER DS"	"0"	""
"bau hh"	"MONTANER L"	"0"	""
"bau hh"	"Moore JH"	"0"	""
"bau hh"	"morroni c"	"0"	""
"bau hh"	"O'doherty U"	"0"	""
"bau hh"	"OBRIEN CP"	"0"	""
"bau hh"	"ratcliffe s"	"0"	""
"bau hh"	"RILEY JL"	"0"	""
"bau hh"	"ROBERTSON ES"	"0"	""
"bau hh"	"ROSS R"	"0"	""
"bau hh"	"rutstein r"	"0"	""
"bau hh"	"sawinski d"	"0"	""
"bau hh"	"SCHNOLL RA"	"0"	""
"bau hh"	"schulman ln"	"0"	""
"bau hh"	"SCOTT PA"	"0"	""
"bau hh"	"SHAW GM"	"0"	""
"bau hh"	"shaw pa"	"0"	""
"bau hh"	"stallings v"	"0"	""
"bau hh"	"steenhoff ap"	"0"	""
"bau hh"	"stevens r"	"0"	""
"bau hh"	"su lf"	"0"	""
